Room Number,Name,VIP,Arrival,Nights,Adults/Children,Room Type,Rate Plan,Travel Agent,Market,Preferences,Owner
,,,,,,,,,,,
,29999,,21/01/2026 07:45,RS,,KGDX,670.00EUR,,HOT,,
,,,,,,,,,,,
,5008528,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"2,010.00EUR",,,
,"Bazhaev, Tumisha, Ms ",,18/01/2026 22:15,5,1/0,TWDX,BARRES,,PRMF,,
,,,,,,,,,,,
,29918,,23/01/2026 11:15,RS,,TWDX,729.00EUR,,CRO,,
,,,,,,,,,,,
,5008131,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"3,645.00EUR",,,
,"Bibi, Katie, Ms ",,18/01/2026 05:15,2,1/0,TWDX,OTA1,Saudi Aramco,FIT1,,
,,,,,,,,,,,
,29563,,20/01/2026 14:30,RS,,TWDX,670.00EUR,,OTH,,
,,,,,,,,,,,
,5007714,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"1,340.00EUR",,,
,"Carvalho, Evelyn, Ms ",,18/01/2026 06:00,5,2/0,TWDX,CORL25,Adidas GmbH,CORL,,
,,,,,,,,,,,
,28914,,23/01/2026 16:00,RS,,TWDX,679.00EUR,,CRO,"CRE25, DRI",
,,,,,,,,,,SOFB,
,5007324,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,395.00EUR",,,
,"Costa, Brenda, Mrs ",REG,18/01/2026 06:30,6,1/0,KGDX,BAR00,Adidas GmbH,CORL,,
,,,,,,,,,,,
,29228,,24/01/2026 17:15,RS,,KGDX,789.00EUR,,CRO,,
,,,,,,,,,,,
,5007135,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"4,934.00EUR",,,
,"Duda, Włodzisław, Mr ",,18/01/2026 20:15,6,2/0,KCST,BAREX,,CORG,,
,,,,,,,,,,,
,29765,,24/01/2026 23:00,RS,,KCST,"1,230.00EUR",,CRO,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008209,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"7,380.00EUR",,,
,"Gallo, Colomba, Ms ",,18/01/2026 07:15,3,1/0,KCST,BAREX,,PRMF,,
,,,,,,,,,,,
,29122,,21/01/2026 20:00,RS,,KCST,"1,230.00EUR",,IBE,"AID, AIP, BFC, EXE",
,,,,,,,,,,MIN,
,5007382,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"3,690.00EUR",,,
,"Hjörleifsson, Sveinbjörn, Mr ",,18/01/2026 22:45,2,1/0,TWDX,RACK,Amazon Deustchland,CORG,,TM
,,,,,,,,,,,
,28085,,20/01/2026 07:45,RS,,TWDX,889.00EUR,,GDS,,
,,,,,,,,,,,
,5006504,,OFF,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"1,778.00EUR",,,
,"Ingram, Tegan, Mrs ",,18/01/2026 15:00,6,2/0,TCDX,BAREX,,CORL,,
,,,,,,,,,,,
,29566,,24/01/2026 11:45,RS,,TCDX,830.00EUR,,SYN,"AID, AIP, BFC, EXE",
,,,,,,,,,,2BTH,
,5007777,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"4,980.00EUR",,,
,"Joseland, Amber, Ms ",,18/01/2026 12:15,6,1/0,KCST,BAREX,,CORN,,
,,,,,,,,,,,
,28394,,24/01/2026 13:45,RS,,KCST,"1,230.00EUR",,CRS,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5006920,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"7,380.00EUR",,,
,"Kozłowska, Kaja, Ms ",,18/01/2026 20:15,1,1/0,KGDX,BAR00,CNN News Group,PRMF,LF,TM
,,,,,,,,,,,
,28048,,19/01/2026 14:15,RS,,KGDX,789.00EUR,,GDS,,
,,,,,,,,,,,
,5006473,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,789.00EUR,,,
,"Kwiatkowski, Benedykt, Mr ",,18/01/2026 06:00,2,2/0,KGSP,BAR00,,FIT1,DBL2,
,,,,,,,,,,,
,28527,,20/01/2026 11:30,RS,,KGSP,789.00EUR,,GDS,,
,,,,,,,,,,,
,5006927,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"1,578.00EUR",,,
,"Larionova, Monica, Ms ",,18/01/2026 13:30,1,1/0,KGDX,OPQ,Telefonica,CORN,,
,,,,,,,,,,,
,29219,,19/01/2026 15:15,RS,,KGDX,490.00EUR,,CRO,BFC,
,,,,,,,,,,"UPGR,2BTH",
,5007440,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,490.00EUR,,,
,"Lassen, Tobias, Mr ",,18/01/2026 18:30,4,1/0,KGDX,BAR10,,FIT1,,
,,,,,,,,,,,
,26760,,22/01/2026 11:00,RS,,KGDX,440.00EUR,,OTH,BFE,
,,,,,,,,,,,
,5004791,,HOLD,,,,0.00EUR,Expedia USA,IBE,,
,,,,,,,,,,,
,,,,,,,,"1,760.00EUR",,,
,"Leighton, Savannah, Mrs ",,18/01/2026 23:30,9,1/0,TWSP,RACK,,CORG,KITC,
,,,,,,,,,,,
,29690,,27/01/2026 22:45,RS,,TWSP,889.00EUR,,CRS,,
,,,,,,,,,,,
,5007962,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"8,001.00EUR",,,
,"Marcelo, Costante, Mr ",,18/01/2026 16:00,1,2/0,KGST,BAR00,Berkshire Hathaway,CORL,SAF,
,,,,,,,,,,,
,29458,,19/01/2026 08:45,RS,,KGST,989.00EUR,,SIT,,
,,,,,,,,,,,
,5007937,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,989.00EUR,,,
,"Marcelo, Costante, Mr ",,18/01/2026 16:30,6,2/0,KCST,BAREX,,CORL,,
,,,,,,,,,,,
,30014,,24/01/2026 11:00,RS,,KCST,"1,230.00EUR",,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5008436,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"7,380.00EUR",,,
,"McNab, Jasper, Mr ",,18/01/2026 17:30,6,2/0,TWDX,CORL25,Volkswagen AG,FIT1,,
,,,,,,,,,,,
,27944,,24/01/2026 23:15,RS,,TWDX,679.00EUR,,GDS,"CRE25, DRI",
,,,,,,,,,,HTCN,
,5006375,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"4,074.00EUR",,,
,"Olszewski, Jaropełk, Mr ",,18/01/2026 06:15,7,2/0,KGSP,DAY,Saudi Aramco,CORG,,
,,,,,,,,,,,
,29876,,25/01/2026 11:45,RS,,KGSP,880.00EUR,,CRO,,
,,,,,,,,,,,
,5008328,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"6,160.00EUR",,,
,"Palerma, Leo, Mr ",,18/01/2026 10:00,1,2/0,TWSP,RACK,,FIT1,,
,,,,,,,,,,,
,28798,,19/01/2026 14:45,RS,,TWSP,889.00EUR,,OTH,,
,,,,,,,,,,,
,5007235,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,889.00EUR,,,
,"Quirk, Amelia, Mrs ",,18/01/2026 19:00,8,1/0,TWDX,DAY,,PRMF,,
,,,,,,,,,,,
,28828,,26/01/2026 10:30,RS,,TWDX,399.00EUR,,CRS,,
,,,,,,,,,,,
,5007275,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"3,192.00EUR",,,
,"Quirk, Amelia, Mrs ",,18/01/2026 13:15,7,1/0,TCDX,BAREX,,FIT1,,
,,,,,,,,,,,
,28321,,25/01/2026 06:30,RS,,TCDX,830.00EUR,,GDS,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5006776,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"5,810.00EUR",,,
,"Ricci, Saverio, Mr ",,18/01/2026 13:00,4,2/0,KGDX,OPQ,,CORN,,
,,,,,,,,,,,
,29511,,22/01/2026 19:45,RS,,KGDX,490.00EUR,,SYN,BFC,
,,,,,,,,,,,
,5007868,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"1,960.00EUR",,,
,"Rushisvili, Bauddin, Mr ",,18/01/2026 21:45,2,2/0,KGDX,DAY,,CORG,,
,,,,,,,,,,,
,29367,,20/01/2026 21:00,RS,,KGDX,399.00EUR,,IBE,,
,,,,,,,,,,,
,5007917,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,798.00EUR,,,
,"Sævarsson, Nikulás, Mr ",,18/01/2026 20:00,2,1/0,TWDX,DAY,ABN Amro HQ,PRMF,,TM
,,,,,,,,,,,
,28892,,20/01/2026 21:00,RS,,TWDX,399.00EUR,,HOT,,
,,,,,,,,,,,
,5007188,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,798.00EUR,,,
,"Tolar, Charlotte, Mrs ",,18/01/2026 18:30,4,1/0,KGST,BB,,FIT1,,
,,,,,,,,,,,
,26752,,22/01/2026 11:00,RS,,KGST,745.00EUR,,OTH,BFC,
,,,,,,,,,,,
,5004755,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"2,980.00EUR",,,
,"Vernadeau, Édouard, Mr ",,18/01/2026 15:15,5,1/0,KGSP,CORL25,Mercedes Benz,FIT1,,
,,,,,,,,,,,
,29197,,23/01/2026 18:45,RS,,KGSP,679.00EUR,,OTH,"CRE25, DRI",
,,,,,,,,,,CON,
,5007298,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"3,395.00EUR",,,
,"Wieczorek, Przemko, Mr ",,18/01/2026 17:30,5,2/0,KINGR,RACK,Telefonica,CORN,UPGR,
,,,,,,,,,,,
,29247,,23/01/2026 09:30,RS,,KINGR,"1,089.00EUR",,OTH,,
,,,,,,,,,,,
,5007750,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"5,445.00EUR",,,
,"Wojciechowski, Gabryŝ, Mr ",,18/01/2026 20:45,2,2/0,KINGR,BAR10,,FIT1,,
,,,,,,,,,,,
,29906,,20/01/2026 11:30,RS,,KINGR,631.20EUR,,SIT,BFE,
,,,,,,,,,,2BTH,
,5008156,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"1,262.40EUR",,,
,"Zotov, Leon, Mr ",,18/01/2026 21:00,9,1/0,KGSP,BAR10,Amazon Switzerland,CORL,,
,,,,,,,,,,,
,30036,,27/01/2026 16:45,RS,,KGSP,631.20EUR,,OTH,BFE,
,,,,,,,,,,EXT,
,5008435,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"6,000.80EUR",,,
,"Accola, Tony, Mr ",,19/01/2026 21:30,10,2/0,KGDX,CORL25,Grupo Catalana Occidente,CORL,,TM
,,,,,,,,,,,
,29584,,29/01/2026 10:45,RS,,KGDX,679.00EUR,,CRS,"CRE25, DRI",
,,,,,,,,,,,
,5008070,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"6,790.00EUR",,,
,"Adamczyk, Irenka, Ms ",,19/01/2026 11:45,9,1/0,TCDX,BAREX,,CORL,,
,,,,,,,,,,,
,29984,,28/01/2026 09:45,RS,,TCDX,830.00EUR,,SYN,"AID, AIP, BFC, EXE",
,,,,,,,,,,"NSMK,PVIEW",
,5008349,REWARDS | BLUE,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,765031A,,,,,,"7,470.00EUR",,,
,"Addison, Tyler, Mr ",PRO,19/01/2026 06:15,8,2/0,KGDX,BAR00,,CORL,HTCN,
,,,,,,,,,,,
,29643,,27/01/2026 06:15,RS,,KGDX,789.00EUR,,HOT,,
,,,,,,,,,,,
,5007813,REWARDS | BLUE,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,090887A,,,,,,"6,712.00EUR",,,
,"Andreev, Evdokim, Mr ",,19/01/2026 22:30,7,2/0,KINGR,BAR00,,PRMF,,
,,,,,,,,,,,
,29205,,26/01/2026 10:30,RS,,KINGR,789.00EUR,,SYN,,
,,,,,,,,,,,
,5007547,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"5,923.00EUR",,,
,"Ásgeirsdóttir, Rúna, Ms ",,19/01/2026 23:00,4,1/0,KGDX,DAY,Accenture,PRMF,UPGR,
,,,,,,,,,,,
,29518,,23/01/2026 23:30,RS,,KGDX,399.00EUR,,OTH,,
,,,,,,,,,,,
,5007790,,HOLD,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"1,596.00EUR",,,
,"Barton, Gracie, Mrs ",,19/01/2026 23:00,1,2/0,TWDX,OPQ,Amazon Deustchland,CORN,,TM
,,,,,,,,,,,
,29895,,20/01/2026 18:00,RS,,TWDX,490.00EUR,,SIT,BFC,
,,,,,,,,,,2BTH,
,5008283,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,490.00EUR,,,
,"Bataev, Ezinet, Ms ",,19/01/2026 19:45,5,1/0,KINGR,OPQ,Telefonica,PRMF,,
,,,,,,,,,,,
,28762,,24/01/2026 14:15,RS,,KINGR,580.00EUR,,HOT,BFC,
,,,,,,,,,,UPGR,
,5007379,,PRE,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"2,900.00EUR",,,
,"Benediktsdóttir, Gerður, Mrs ",,19/01/2026 15:00,7,1/0,TCDX,BAREX,,PRMF,,
,,,,,,,,,,,
,30089,,26/01/2026 16:30,RS,,TCDX,830.00EUR,,OTH,"AID, AIP, BFC, EXE",
,,,,,,,,,,PLA,
,5008174,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"5,810.00EUR",,,
,"Borodina, Evguenya, Ms ",,19/01/2026 07:45,1,1/0,KGDX,BAR10,Saudi Aramco,FIT1,,
,,,,,,,,,,,
,28875,,20/01/2026 17:45,RS,,KGDX,631.20EUR,,OTH,BFE,
,,,,,,,,,,,
,5007146,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,631.20EUR,,,
,"Carvalho, Evelyn, Ms ",,19/01/2026 19:45,5,1/0,KCST,BAREX,,CORL,,
,,,,,,,,,,,
,29338,,24/01/2026 09:45,RS,,KCST,"1,230.00EUR",,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,ACCESS,
,5007823,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"6,150.00EUR",,,
,"Collin, Channing, Mr ",,19/01/2026 07:00,10,2/0,KGDX,BARAD,,FIT1,,
,,,,,,,,,,,
,29970,,29/01/2026 08:15,RS,,KGDX,591.75EUR,,IBE,,
,,,,,,,,,,,
,5008255,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"6,217.50EUR",,,
,"Donald, Howard, Mr ",,19/01/2026 05:15,6,2/0,TCDX,BAREX,,PRMF,,
,,,,,,,,,,,
,28883,,25/01/2026 21:00,RS,,TCDX,830.00EUR,,CRO,"AID, AIP, BFC, EXE",
,,,,,,,,,,SOFL,
,5007152,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,980.00EUR",,,
,"Gallagher, Bradley, Mr ",,19/01/2026 13:30,3,2/0,KGST,OTA1,,CORN,SM,
,,,,,,,,,,,
,29496,,22/01/2026 18:15,RS,,KGST,840.00EUR,,CRO,,
,,,,,,,,,,,
,5007956,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"2,520.00EUR",,,
,"Grímsdóttir, Ásdís, Mrs ",,19/01/2026 08:15,7,1/0,TWDX,CORL25,Amazon Deustchland,PRMF,,TM
,,,,,,,,,,,
,29285,,26/01/2026 07:15,RS,,TWDX,679.00EUR,,GDS,"CRE25, DRI",
,,,,,,,,,,DBL2,
,5007972,,HOLD,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"4,753.00EUR",,,
,"Hill, Kieran, Mr ",,19/01/2026 10:00,3,1/0,KGST,RACK,Apple Incorporated Spain,CORL,,TM
,,,,,,,,,,,
,28730,,22/01/2026 07:30,RS,,KGST,"1,889.00EUR",,SYN,,
,,,,,,,,,,,
,5006624,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"5,667.00EUR",,,
,"Huỳnh, Trương, Mr ",,19/01/2026 18:30,1,2/0,KINGR,BAR00,,FIT1,,
,,,,,,,,,,,
,26776,,20/01/2026 11:00,RS,,KINGR,729.00EUR,,SYN,,
,,,,,,,,,,,
,5004706,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,729.00EUR,,,
,"Jabłońska, Klara, Mrs ",,19/01/2026 23:45,6,1/0,KGST,CORL25,,CORL,,
,,,,,,,,,,,
,28328,,25/01/2026 23:15,RS,,KGST,679.00EUR,,HOT,"CRE25, DRI",
,,,,,,,,,,KING,
,5006780,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,074.00EUR",,,
,"Joseland, Amber, Ms ",,19/01/2026 11:45,6,1/0,KGDX,BARRES,,CORN,LUG,
,,,,,,,,,,,
,29839,,25/01/2026 14:15,RS,,KGDX,729.00EUR,,CRO,,
,,,,,,,,,,,
,5008417,,PRE,,,,0.00EUR,,COR,,
,,,,,,,,,,,
,,,,,,,,"4,374.00EUR",,,
,"Kozłowska, Beatrycze, Mrs ",,19/01/2026 09:45,1,1/0,KINGR,DAY,Amazon Austria,CORG,UPGR,TM
,,,,,,,,,,,
,29588,,20/01/2026 05:15,RS,,KINGR,580.00EUR,,SIT,,
,,,,,,,,,,,
,5007985,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,580.00EUR,,,
,"Lima, Lara, Ms ",,19/01/2026 18:30,4,1/0,KGDX,OTA1,Siemens Gamesa,FIT1,,
,,,,,,,,,,,
,29370,,23/01/2026 08:15,RS,,KGDX,670.00EUR,,HOT,,
,,,,,,,,,,,
,5007670,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"2,680.00EUR",,,
,"Lucchesi, Michelangelo, Mr ",,19/01/2026 13:45,9,1/0,TWDX,BARAD,Apple Incorporated Spain,PRMF,,TM
,,,,,,,,,,,
,29044,,28/01/2026 23:00,RS,,TWDX,591.75EUR,,GDS,,
,,,,,,,,,,,
,5007383,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"5,625.75EUR",,,
,"Mancini, Lionello, Mr ",,19/01/2026 18:45,5,2/0,TCDX,BAREX,,CORN,,
,,,,,,,,,,,
,29419,,24/01/2026 14:15,RS,,TCDX,830.00EUR,,CRS,"AID, AIP, BFC, EXE",
,,,,,,,,,,LF,
,5008054,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"4,150.00EUR",,,
,"Masaev, Nurset, Mrs ",,19/01/2026 05:45,5,1/0,TWSP,BAR10,Bayerische Motoren Werke (BMW),PRMF,,
,,,,,,,,,,,
,27816,,24/01/2026 13:30,RS,,TWSP,631.20EUR,,SIT,BFE,
,,,,,,,,,,SM,
,5006239,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"3,316.00EUR",,,
,"Nekrasova, Uliana, Mrs ",,19/01/2026 08:00,2,02-Jan,A1KB,RACK,Telefonica,CORG,UPGR,
,,,,,,,,,,,
,29431,,21/01/2026 11:00,RS,,A1KB,"1,889.00EUR",,HOT,,
,,,,,,,,,,,
,5008001,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,778.00EUR",,,
,"Nowak, Jarogniew, Mr ",,19/01/2026 06:15,2,1/0,KCDX,BAREX,,CORG,,
,,,,,,,,,,,
,29366,,21/01/2026 15:45,RS,,KCDX,810.00EUR,,IBE,"AID, AIP, BFC, EXE",
,,,,,,,,,,LF,
,5007832,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"1,620.00EUR",,,
,"Palerma, Leo, Mr ",,19/01/2026 11:00,5,2/0,KINGR,OTA1,Saudi Aramco,CORL,BAL2,
,,,,,,,,,,,
,28543,,24/01/2026 06:30,RS,,KINGR,670.00EUR,,OTH,,
,,,,,,,,,,,
,5006736,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"3,520.00EUR",,,
,"Pawlak, Genowefa, Ms ",,19/01/2026 11:30,1,1/0,TWDX,BAR00,,CORL,,
,,,,,,,,,,,
,29782,,20/01/2026 16:45,RS,,TWDX,789.00EUR,,OTH,,
,,,,,,,,,,,
,5008406,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,789.00EUR,,,
,"Ratcliffe, Mariam, Ms ",EXE,19/01/2026 09:15,9,1/0,TWDX,BARRES,Volkswagen AG,CORG,,
,,,,,,,,,,,
,30019,,28/01/2026 08:00,RS,,TWDX,729.00EUR,,SIT,,
,,,,,,,,,,,
,5008412,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"6,561.00EUR",,,
,"Ryzaev, Vakhita, Mr ",,19/01/2026 09:15,8,1/0,KINGR,OPQ,Apple Incorporated Spain,CORG,,TM
,,,,,,,,,,,
,29930,,27/01/2026 14:30,RS,,KINGR,580.00EUR,,GDS,BFC,
,,,,,,,,,,,
,5008396,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"4,640.00EUR",,,
,"Siciliani, Stella, Ms ",,19/01/2026 08:30,7,2/0,KGSP,RACK,Apple Incorporated Spain,CORN,LUG,TM
,,,,,,,,,,,
,29222,,26/01/2026 21:00,RS,,KGSP,889.00EUR,,HOT,,
,,,,,,,,,,,
,5007477,,OFF,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"6,223.00EUR",,,
,"Vedzizhev, Zelim, Mr ",,19/01/2026 15:15,6,1/0,KGSP,BAR10,,PRMF,,
,,,,,,,,,,,
,29372,,25/01/2026 17:00,RS,,KGSP,631.20EUR,,SYN,BFE,
,,,,,,,,,,HTCN,
,5007691,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"4,107.20EUR",,,
,"Volodin, Prokhor, Dear Dr ",,19/01/2026 23:45,6,1/0,KGSP,CORL25,Volkswagen AG,CORG,,
,,,,,,,,,,,
,29358,,25/01/2026 20:00,RS,,KGSP,679.00EUR,,CRS,"CRE25, DRI",
,,,,,,,,,,,
,5007636,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"4,074.00EUR",,,
,"Al Khasimi, Abdurashid, Sheikh ",VIP,20/01/2026 16:00,4,2/0,KGSP,RACK,Saudi Aramco,CORL,SOFB,
,,,,,,,,,,,
,30109,,24/01/2026 10:15,RS,,KGSP,889.00EUR,,OTH,,
,,,,,,,,,,,
,5008458,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"3,556.00EUR",,,
,"Amiet, Hudson, Mr ",,20/01/2026 09:45,7,1/0,KGSP,BARAD,,FIT1,,
,,,,,,,,,,,
,28444,,27/01/2026 19:30,RS,,KGSP,591.75EUR,,SYN,,
,,,,,,,,,,,
,5006818,,OFF,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"4,442.25EUR",,,
,"Beaurepaire, Jordan, Mr ",,20/01/2026 10:30,8,1/0,TCDX,BAREX,,CORG,,
,,,,,,,,,,,
,28748,,28/01/2026 19:30,RS,,TCDX,830.00EUR,,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5007308,,OFF,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"6,640.00EUR",,,
,"Böðvarsdóttir, Dagný, Mrs ",,20/01/2026 15:30,9,1/0,KGDX,DAY,,FIT1,TWIN,
,,,,,,,,,,,
,29539,,29/01/2026 23:00,RS,,KGDX,399.00EUR,,SIT,,
,,,,,,,,,,,
,5007739,,HOLD,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,591.00EUR",,,
,"Bois, Lotye, Mrs ",,20/01/2026 06:30,8,1/0,KCST,BAREX,,CORL,,
,,,,,,,,,,,
,29966,,28/01/2026 12:30,RS,,KCST,"1,230.00EUR",,HOT,"AID, AIP, BFC, EXE",
,,,,,,,,,,ACCESS,
,5008261,,PRE,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"9,840.00EUR",,,
,"Boxer, Mason, Mr ",,20/01/2026 17:15,5,2/0,KGDX,RACK,CNN News Group,FIT1,,TM
,,,,,,,,,,,
,29707,,25/01/2026 18:45,RS,,KGDX,889.00EUR,,HOT,,
,,,,,,,,,,,
,5007661,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"4,445.00EUR",,,
,"Chapman, Lauren, Ms ",,20/01/2026 12:30,10,2/0,KGDX,OTA1,Amazon Deustchland,CORG,SM,TM
,,,,,,,,,,,
,28605,,30/01/2026 23:30,RS,,KGDX,670.00EUR,,OTH,,
,,,,,,,,,,,
,5006785,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"7,040.00EUR",,,
,"Charlton, Jade, Ms ",,20/01/2026 10:30,8,2/0,KGSP,OPQ,Banco Bilbao Vizcaya,CORL,,
,,,,,,,,,,,
,29987,,28/01/2026 06:45,RS,,KGSP,490.00EUR,,SIT,BFC,
,,,,,,,,,,,
,5008535,,OFF,,,,0.00EUR,,PMS,,
,,,,,,,,,,,
,,,,,,,,"3,920.00EUR",,,
,"Clarke, Louise, Ms ",,20/01/2026 23:00,4,2/0,KCDX,BAREX,,CORL,,
,,,,,,,,,,,
,29469,,24/01/2026 17:30,RS,,KCDX,810.00EUR,,SIT,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5007800,,HOLD,,,,0.00EUR,,TVL,,
,,,,,,,,,,,
,,,,,,,,"3,240.00EUR",,,
,"Costa, Kauan, Mr ",,20/01/2026 23:15,7,1/0,KGST,RACK,Deloitte,FIT1,,TM
,,,,,,,,,,,
,29255,,27/01/2026 16:45,RS,,KGST,"1,889.00EUR",,HOT,,
,,,,,,,,,,,
,5007834,,PRE,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"13,223.00EUR",,,
,"Fisher, Sabine, Ms ",,20/01/2026 08:45,6,1/0,TWSP,OPQ,Deloitte,CORG,,TM
,,,,,,,,,,,
,29805,,26/01/2026 13:15,RS,,TWSP,490.00EUR,,HOT,BFC,
,,,,,,,,,,,
,5008346,,PRE,,,,0.00EUR,,IBE,,
,,,,,,,,,,,
,,,,,,,,"2,940.00EUR",,,
,"Furst, Sabrina, Mrs ",,20/01/2026 08:45,4,2/0,KCST,BAREX,,CORG,,
,,,,,,,,,,,
,29120,,24/01/2026 07:15,RS,,KCST,"1,230.00EUR",,GDS,"AID, AIP, BFC, EXE",
,,,,,,,,,,,
,5007476,,HOLD,,,,0.00EUR,,SAL,,
,,,,,,,,,,,
,,,,,,,,"4,920.00EUR",,,
,"Gallagher, Bradley, Mr ",,20/01/2026 17:15,1,2/0,TWDX,BARRES,Amazon Deustchland,CORG,,TM
,,,,,,,,,,,
